pos,word
a,abnormálny
a,nadmerný
a,priveľký
a,absolútny
a,oprávnený
a,zákonný
a,zvrchovaný
a,abstrakčný
a,absurdný
a,nezmyselný
a,adekvátny
a,schopný
a,vhodný
a,adresovaný
a,africký
a,agrárny
a,roľnícky
a,poľnohospodársky
a,agresívny
a,bojovný
a,divý
a,agronomický
a,akceptovaný
a,prípustný
a,prijímaný
a,prijatý
a,akceptujúci
a,prijateľný
a,akrobatický
a,atletický
a,gymnastický
a,akčný
a,aktívny
a,činný
a,činorodý
a,zúčastnený
a,pracujúci
a,aktuálny
a,najnovší
a,súčasný
a,momentálny
a,živý
a,akútny
a,kritický
a,náhly
a,intenzívny
a,prudký
a,ostrý
a,prenikavý
a,albánsky
a,alfa
a,primárny
a,alikvotný
a,pomerný
a,alkoholický
a,alpský
a,amatérsky
a,neodborný
a,neprofesionálny
a,laický
a,amaurotický
a,americký
a,amónny
a,amoniakový
a,čpavkový
a,analogický
a,korešpondujúci
a,obdobný
a,analytický
a,aneroidný
a,anglický
a,animovaný
a,anonymný
a,bezmenný
a,antický
a,klasický
a,staroveký
a,aplikovaný
a,apokalyptický
a,prorocký
a,apoštolský
a,arabský
a,arbitrážny
a,rozhodcovský
a,archeologický
a,architektonický
a,stavebný
a,archívny
a,argentínsky
a,argumentačný
a,artézsky
a,arzénový
a,astrologický
a,astronomický
a,obrovitánsky
a,galaktický
a,atlantický
a,vyšportovaný
a,atraktívny
a,príťažlivý
a,podmanivý
a,zaujímavý
a,lákavý
a,austrálsky
a,autonómny
a,nezávislý
a,samostatný
a,suverénny
a,autorský
a,baigtas
a,pabaigtas
a,barbarský
a,divoký
a,primitívny
a,nekultúrny
a,barokový
a,básnický
a,poetický
a,behavý
a,belasý
a,bledomodrý
a,belgický
a,bezcitný
a,krutý
a,ukrutný
a,tvrdý
a,surový
a,bezdrôtový
a,bezmocný
a,bezbranný
a,slabý
a,stratený
a,bežný
a,častý
a,ľudový
a,vlastný
a,regionálny
a,nárečový
a,lokálny
a,miestny
a,obyčajný
a,jednoduchý
a,normálny
a,priemerný
a,všeobecný
a,tradičný
a,vžitý
a,zvyčajný
a,bezpečnostný
a,preventívny
a,bezpečný
a,chránený
a,bezplatný
a,voľný
a,diaľkovo-riadený
a,hroziaci
a,bezradný
a,neinformovaný
a,mimo
a,bezšnúrový
a,bezúhonný
a,nevinný
a,cnostný
a,počestný
a,-
a,bezvodý
a,suchý
a,bezvýsledný
a,nepreukázateľný
a,vyvrátiteľný
a,bezvýznamný
a,bezdôvodný
a,biblický
a,bibliomanský
a,bibliofilský
a,biedny
a,nedostatočný
a,mliečnobiely
a,bilaterálny
a,dvojstranný
a,biliónový
a,biologický
a,bionomický
a,ekologický
a,biskupský
